"Illescas Cordoba, Miguel"
"Inarkiev, Ernesto"
"Inkiov, Ventzislav"
"Ionescu, Constantin"
"Iordachescu, Viorel"
"Ipatov, Alexander"
"Istratescu, Andrei"
"Iturrizaga Bonelli, Eduardo"
"Ivanchuk, Vassily"
"Ivanisevic, Ivan"
"Ivanov, Alexander"
"Ivanov, Alexey"
"Ivanov, Igor V."
"Ivanovic, Bozidar"
"Ivkov, Borislav"
"Izoria, Zviad"
"Jakovenko, Dmitry"
"Janosevic, Dragoljub"
"Jansa, Vlastimil"
"Jobava, Baadur"
"Jones, Gawain C. B."
"Jumabayev, Rinat"
"Jussupow, Artur"
"Kaidanov, Gregory S."
"Kamsky, Gata"
"Kapengut, Albert Z."
"Karaklajic, Nikola"
"Karasev, Vladimir I."
"Karjakin, Sergey"
"Karlsson, Lars"
"Karpov, Anatoly"
"Kasimdzhanov, Rustam"
"Kasparov, Garry"
"Kavalek, Lubomir"
"Kazhgaleyev, Murtas"
"Keene, Raymond D."
"Kempinski, Robert"
"Kengis, Edwin"
"Keres, Paul"
"Khairullin, Ildar"
"Khalifman, Alexander"
"Kharitonov, Andrei Y."
"Kharlov, Andrei"
"Khasin, Abram"
"Khenkin, Igor"
"Khismatullin, Denis"
"Kholmov, Ratmir D."
"Kindermann, Stefan"
"King, Daniel J."
"Kirpichnikov, Vladimir"
"Klovan, Janis"
"Knaak, Rainer"
"Knezevic, Milorad"
"Kobalia, Mikhail"
"Kochyev, Alexander"
"Kogan, Boris M."
"Komarov, Dimitri"
"Korchnoi, Viktor"
"Korensky, Valeri S."
"Korneev, Oleg"
"Korobov, Anton"
"Korotylev, Alexey"
"Kosten, Anthony C."
"Kotov, Alexander"
"Kotronias, Vasilios"
"Kotsur, Pavel"
"Kovacevic, Vladimir"
"Kovalenko, Igor"
"Kovalev, Andrei"
"Kovalev, Vladislav"
"Kovalyov, Anton"
"Kozul, Zdenko"
"Kramnik, Vladimir"
"Krasenkow, Michal"
"Kravtsiv, Martyn"
"Krogius, Nikolai V."
"Kruppa, Yuri"
"Kryvoruchko, Yuriy"
"Kudrin, Sergey"
"Kupreichik, Viktor D."
"Kurajica, Bojan"
"Kurnosov, Igor"
"Kuzmin, Alexey"
"Kuzmin, Gennadi P."
"Kuzubov, Yuriy"
"L'Ami, Erwin"
"Lagarde, Maxime"
"Lalic, Bogdan"
"Landa, Konstantin"
"Larsen, Bent"
"Lastin, Alexander"
"Lau, Ralf"
"Lautier, Joel"
"Laznicka, Viktor"
"Le, Quang Liem"
"Lehmann, Heinz"
"Lein, Anatoly"
"Leko, Peter"
"Lenderman, Aleksandr"
"Lengyel, Levente"
"Lenic, Luka"
"Lerner, Konstantin Z."
"Li, Chao"
"Liberzon, Vladimir M."
"Liebert, Heinz"
"Lilienthal, Andor"
"Ljubojevic, Ljubomir"
"Lobron, Eric"
"Loginov, Valery A."
"Lombardy, William J."
"Lputian, Smbat G."
"Lukacs, Peter"
"Lupulescu, Constantin"
"Luther, Thomas"
"Lutikov, Anatoly S."
"Lutz, Christopher"
"Lysyj, Igor"
"Machulsky, Anatoly D."
"Macieja, Bartlomiej"
"Magerramov, Elmar"
"Maghsoodloo, Parham"
"Magomedov, Magaram"
